順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
1,秋山　翔吾,西武,.359,143,675,602,216,14,55,17,60,4,78,7,6,.419,.522,.941,8.04,7.57
2,鳥谷　敬,阪神,.281,143,646,551,155,6,42,9,89,1,77,2,8,.380,.367,.747,5.42,5.34
2,山田　哲人,ヤクルト,.329,143,646,557,183,38,100,34,81,5,111,0,11,.416,.610,1.027,9.56,9.19
4,菊池　涼介,広島,.254,143,644,562,143,8,32,19,29,2,92,49,7,.292,.343,.636,3.23,3.20
5,丸　佳浩,広島,.249,143,633,530,132,19,63,15,94,1,143,4,4,.361,.413,.774,5.56,5.59
6,川端　慎吾,ヤクルト,.336,143,632,581,195,8,57,4,43,3,72,2,15,.383,.439,.822,6.20,5.85
7,浅村　栄斗,西武,.270,141,627,537,145,13,81,12,69,12,136,2,13,.362,.385,.747,4.91,5.00
8,栗山　巧,西武,.268,142,622,533,143,10,42,3,72,5,88,8,15,.358,.371,.730,4.75,4.73
9,大島　洋平,中日,.260,142,620,565,147,6,27,22,39,5,65,10,5,.313,.342,.655,3.89,3.83
10,中島　卓也,日本ハム,.264,143,617,515,136,0,39,34,66,2,93,34,10,.350,.287,.637,3.86,3.81
11,中田　翔,日本ハム,.263,143,611,539,142,30,102,1,64,1,120,0,11,.339,.479,.817,5.70,5.77
12,柳田　悠岐,ソフトバンク,.363,138,605,502,182,34,99,32,88,14,101,0,9,.469,.631,1.101,11.39,10.81
13,松田　宣浩,ソフトバンク,.287,143,603,533,153,35,94,8,60,2,135,0,17,.357,.533,.889,6.14,6.23
14,ゴメス,阪神,.271,143,601,520,141,17,72,0,72,6,134,0,15,.364,.423,.787,5.42,5.37
15,中村　剛也,西武,.278,139,599,521,145,37,124,1,68,7,172,0,12,.367,.559,.926,7.13,7.03
16,田中　賢介,日本ハム,.284,134,596,532,151,4,66,9,57,1,58,5,9,.354,.352,.705,4.71,4.58
17,安達　了一,オリックス,.239,139,593,506,121,11,55,16,48,6,68,29,11,.310,.348,.658,3.28,3.39
18,田中　広輔,広島,.274,141,590,543,149,8,45,6,34,7,105,5,8,.325,.413,.737,4.61,4.43
18,中村　晃,ソフトバンク,.300,135,590,506,152,1,39,7,66,6,47,9,7,.386,.350,.735,5.37,5.22
20,雄平,ヤクルト,.270,141,585,551,149,8,60,7,27,3,82,1,7,.307,.388,.695,4.21,4.10
20,内川　聖一,ソフトバンク,.284,136,585,529,150,11,82,1,45,4,55,0,24,.340,.395,.735,4.42,4.41
22,李　大浩,ソフトバンク,.282,141,584,510,144,31,98,0,62,9,109,0,17,.368,.524,.892,6.53,6.46
22,畠山　和洋,ヤクルト,.268,137,584,512,137,26,105,0,62,2,92,0,10,.344,.471,.815,5.76,5.85
24,マートン,阪神,.276,140,583,544,150,9,59,0,31,3,77,0,21,.316,.375,.691,3.79,3.76
25,梶谷　隆幸,DeNA,.275,134,578,520,143,13,66,28,54,0,132,2,4,.342,.425,.767,5.28,5.16
26,福留　孝介,阪神,.281,140,569,495,139,20,76,1,65,1,75,1,15,.361,.463,.824,5.76,5.78
27,筒香　嘉智,DeNA,.317,138,568,496,157,24,93,0,68,2,98,0,5,.400,.522,.922,8.00,7.74
28,ロペス,DeNA,.291,140,565,516,150,25,73,1,44,2,82,0,14,.347,.496,.843,5.96,5.83
28,糸井　嘉男,オリックス,.262,132,565,484,127,17,68,11,72,8,78,0,10,.366,.413,.780,5.57,5.51
30,鈴木　大地,ロッテ,.263,142,564,487,128,6,50,1,47,3,58,24,10,.330,.366,.695,3.97,3.92
30,ルナ,中日,.292,134,564,496,145,8,60,11,57,5,77,0,13,.367,.397,.764,5.52,5.43
32,平田　良介,中日,.283,130,559,491,139,13,53,11,64,3,86,1,5,.369,.430,.799,5.92,5.74
33,坂本　勇人,巨人,.269,130,558,479,129,12,68,10,65,0,79,9,5,.353,.401,.754,5.27,5.27
34,レアード,日本ハム,.231,143,554,498,115,34,97,1,43,9,129,0,18,.301,.488,.789,4.67,4.84
35,エルナンデス,中日,.271,138,548,498,135,11,58,5,35,0,106,10,13,.317,.400,.716,4.18,4.13
35,清田　育宏,ロッテ,.317,130,548,489,155,15,67,10,54,3,93,0,11,.387,.503,.890,7.10,6.76
37,クルーズ,ロッテ,.255,133,532,501,128,16,73,0,24,2,66,0,7,.289,.401,.691,4.05,4.11
38,森　友哉,西武,.287,138,531,474,136,17,68,0,44,9,143,0,5,.357,.468,.825,6.01,5.86
39,今宮　健太,ソフトバンク,.228,142,530,457,104,7,45,3,34,0,83,35,13,.279,.326,.605,2.63,2.71
40,バルディリス,DeNA,.258,139,525,465,120,13,56,0,43,12,62,0,12,.333,.391,.725,4.56,4.60
40,メヒア,西武,.235,135,525,473,111,27,89,0,45,5,153,0,14,.307,.471,.778,4.69,4.74
42,西川　遥輝,日本ハム,.276,125,521,442,122,5,35,30,60,4,98,15,1,.368,.391,.759,5.70,5.50
43,近藤　健介,日本ハム,.326,129,504,435,142,8,60,6,59,2,59,3,9,.405,.467,.872,7.20,6.89
44,中村　悠平,ヤクルト,.231,136,502,442,102,2,33,3,40,4,80,14,9,.299,.276,.575,2.70,2.76
45,松井　稼頭央,楽天,.256,126,501,445,114,10,48,14,43,3,82,7,7,.324,.366,.690,4.34,4.34
46,ペーニャ,楽天,.268,125,492,406,109,17,40,1,70,16,111,0,5,.396,.448,.845,6.68,6.59
47,角中　勝也,ロッテ,.293,111,484,427,125,6,52,8,47,1,52,7,12,.363,.405,.768,5.17,5.01
48,中島　裕之,オリックス,.240,117,483,417,100,10,46,1,53,12,93,0,10,.342,.357,.699,4.28,4.30
49,新井　貴浩,広島,.275,125,480,426,117,7,57,3,48,2,73,0,15,.348,.385,.733,4.66,4.61
50,長野　久義,巨人,.251,130,479,434,109,15,52,3,34,4,81,5,12,.310,.415,.725,4.20,4.22
51,上本　博紀,阪神,.253,108,452,375,95,4,31,19,44,4,69,29,1,.338,.339,.677,4.02,3.95
52,藤田　一也,楽天,.270,111,451,392,106,5,43,8,28,8,30,16,3,.326,.349,.676,4.21,4.29
53,後藤　光尊,楽天,.237,117,444,413,98,9,42,13,12,5,48,10,8,.265,.346,.611,2.80,2.91
54,炭谷　銀仁朗,西武,.211,133,443,399,84,4,35,0,16,4,87,22,7,.247,.281,.528,1.96,2.03
